,name_1,prefecture,pref_id,data_year,data_ymd,n_staff_all,ave_age_staff_all,salary_staff_all,kimatsu_staff_all,n_staff_gyosei,ave_age_staff_gyosei,salary_staff_gyosei,kimatsu_staff_gyosei,name_2,daisotsu,tandaisotsu,kousotsu,n_newcomer,n_retire,salary_mayor,salary_vice_mayor,salary_chair,salary_vice_chair,salary_assembly_member,salary_education,mayor_sala_apply_ymd,assembly_sala_apply_ymd,education_sala_apply_ymd,ruiji_dantai
55,新篠津村,北海道,1,2015,20150401,51,42.4,3288,9436,45,43.0,3327,9629,新篠津村,174200,154800,142100,2,−,6850,6050,2600,2250,1900,5600,21.4.1,21.4.1,21.4.1,Ⅰ−０
56,松前町,北海道,1,2015,20150401,176,43.3,3358,9641,93,44.8,3241,9805,松前町,174200,151800,142100,13,8,7440,6180,2700,2100,1800,5650,26.4.1,23.4.1,26.4.1,Ⅱ−１
57,福島町,北海道,1,2015,20150401,78,40.9,2972,8844,55,39.3,2873,8639,福島町,174200,154800,142100,5,3,6500,5700,2320,1850,1560,5300,16.4.1,23.9.1,16.4.1,Ⅰ−１
58,知内町,北海道,1,2015,20150401,93,40.8,3098,9195,50,41.0,2977,9031,知内町,174200,154800,142100,9,8,6850,5900,2430,1900,1620,5250,18.4.1,19.4.1,18.4.1,Ⅰ−０
59,木古内町,北海道,1,2015,20150401,171,44.3,3290,9370,57,42.3,3090,8862,木古内町,174200,154800,142100,16,16,7000,6000,2550,2000,1700,5600,27.4.1,24.4.1,27.4.1,Ⅰ−２
60,七飯町,北海道,1,2015,20150401,171,39.2,2900,8194,125,38.3,2873,8125,七飯町,174200,154800,142100,9,6,7980,6713,3300,2600,2300,5895,26.4.1,12.4.1,26.4.1,Ⅴ−２
61,鹿部町,北海道,1,2015,20150401,70,36.9,2721,8342,51,37.8,2768,8850,鹿部町,174200,151800,142100,3,4,7290,6045,2390,1850,1580,5487,17.4.1,17.7.1,17.4.1,Ⅰ−０
62,森町,北海道,1,2015,20150401,328,44.1,3285,9509,146,43.2,3203,9500,森町,174200,151800,142100,19,16,8120,6530,2950,2250,1950,5840,26.4.1,25.4.1,26.4.1,Ⅳ−０
63,八雲町,北海道,1,2015,20150401,551,41.8,3395,12061,188,41.5,3125,11186,八雲町,174200,154800,142100,50,52,6885,6030,2655,2116,1833,5418,24.8.1,24.8.1,24.8.1,Ⅳ−０
64,長万部町,北海道,1,2015,20150401,147,41.4,3213,9035,71,40.5,3020,8623,長万部町,174200,154800,142100,11,14,7290,6045,2500,2050,1750,5510,27.4.1,4.12.1,27.4.1,Ⅱ−２
65,江差町,北海道,1,2015,20150401,103,39.4,2899,7901,73,39.0,2866,7822,江差町,169000,150200,137900,2,7,6970,5490,2330,1950,1760,5020,19.4.1,16.4.1,19.4.1,Ⅱ−２
66,上ノ国町,北海道,1,2015,20150401,95,41.1,3078,8854,63,39.3,3002,8601,上ノ国町,172000,152800,140100,2,3,7220,5780,2380,1950,1710,5320,17.4.1,17.4.1,17.4.1,Ⅱ−１
67,厚沢部町,北海道,1,2015,20150401,97,43.4,3381,9246,55,41.8,3053,8573,厚沢部町,174200,154800,142100,2,3,7600,6170,2280,1940,1710,5700,18.4.1,18.4.1,18.4.1,Ⅰ−０
68,乙部町,北海道,1,2015,20150401,93,43.2,3231,9160,59,40.6,2894,8240,乙部町,174200,154800,142100,3,6,7500,6150,2320,1930,1700,5750,26.4.1,18.4.1,26.4.1,Ⅰ−１
69,奥尻町,北海道,1,2015,20150401,138,43.6,3300,9079,73,42.7,3041,8226,奥尻町,174200,151800,142100,3,5,6420,5550,2250,1800,1620,5310,26.4.1,18.4.1,26.4.1,Ⅰ−２
70,今金町,北海道,1,2015,20150401,163,42.7,3253,9327,70,39.8,3008,8709,今金町,174200,154800,142100,6,8,7400,6210,2390,2000,1700,5770,26.4.1,17.4.1,26.4.1,Ⅱ−０
71,せたな町,北海道,1,2015,20150401,228,42.1,3254,8814,126,41.7,3115,8776,せたな町,174200,154800,142100,12,24,7500,6000,2350,1900,1650,5500,23.10.1,23.10.1,23.10.1,Ⅱ−０
72,島牧村,北海道,1,2015,20150401,65,43.3,3086,8573,44,43.3,3122,9208,島牧村,174200,151800,142100,4,5,6300,5500,2300,1800,1550,5150,26.4.1,20.4.1,26.4.1,Ⅰ−０
73,寿都町,北海道,1,2015,20150401,72,40.6,3059,9065,56,41.7,3112,9129,寿都町,174200,154800,142100,4,1,6900,5690,2450,1950,1650,5220,20.4.1,20.4.1,20.4.1,Ⅰ−２
74,黒松内町,北海道,1,2015,20150401,87,41.8,3156,8386,64,40.8,3029,8146,黒松内町,174200,154800,142100,6,4,6400,5750,2460,1940,1640,5380,26.4.1,17.4.1,26.4.1,Ⅰ−２
75,蘭越町,北海道,1,2015,20150401,119,42.3,3082,8245,97,43.5,3172,8515,蘭越町,163600,151800,142100,4,10,6900,5650,2420,1920,1590,5190,26.4.1,26.4.1,26.4.1,Ⅱ−０
76,ニセコ町,北海道,1,2015,20150401,94,41.3,3047,8643,75,41.8,3096,8867,ニセコ町,174200,151800,142100,9,4,6700,5700,2580,2050,1700,5200,21.12.1,23.5.1,21.12.1,Ⅰ−０
77,真狩村,北海道,1,2015,20150401,64,43.8,3280,8772,48,44.3,3341,8912,真狩村,174200,151800,142100,2,−,6200,5700,2400,1900,1600,5200,27.4.1,19.5.1,27.4.1,Ⅰ−０
78,留寿都村,北海道,1,2015,20150401,66,38.8,2930,8480,45,39.3,2995,8595,留寿都村,174200,154800,142100,3,3,6400,5650,2400,1910,1600,5210,26.4.1,20.4.1,26.4.1,Ⅰ−０
79,喜茂別町,北海道,1,2015,20150401,60,41.7,2975,8202,47,42.2,3010,8304,喜茂別町,174200,151800,142100,8,6,6700,6000,2500,2000,1700,5600,16.9.1,15.4.1,27.4.1,Ⅰ−０
80,京極町,北海道,1,2015,20150401,78,39.5,2962,8316,50,38.2,2784,7942,京極町,163600,151800,142100,6,2,6800,6000,2430,1920,1650,5500,26.4.1,20.4.1,26.4.1,Ⅰ−１
81,倶知安町,北海道,1,2015,20150401,163,42.0,3086,9183,115,41.3,3096,9312,倶知安町,174200,154800,142100,3,13,6650,5700,2550,2070,1730,5225,25.7.1,17.4.1,25.7.1,Ⅳ−２
82,共和町,北海道,1,2015,20150401,101,41.1,3047,8767,75,41.3,3069,8953,共和町,163600,151800,142100,4,7,6800,5750,2520,1980,1670,5330,23.4.1,19.4.1,23.4.1,Ⅱ−０
83,岩内町,北海道,1,2015,20150401,163,38.8,2852,7957,98,38.9,2872,8280,岩内町,174200,154800,142100,8,14,6850,5700,2820,2260,1850,5330,26.4.1,7.1.1,26.4.1,Ⅲ−２
84,泊村,北海道,1,2015,20150401,63,40.7,3021,8607,40,41.5,3105,8916,泊村,174200,151800,142100,3,3,6500,5750,2630,2090,1700,5300,25.4.1,18.4.1,25.4.1,Ⅰ−２
85,神恵内村,北海道,1,2015,20150401,37,39.4,2905,7841,30,39.5,2899,7806,神恵内村,174200,154800,142100,4,−,6500,5680,2250,1800,1600,5290,27.4.1,15.5.1,27.4.1,Ⅰ−０
86,積丹町,北海道,1,2015,20150401,69,40.6,3071,8155,52,40.6,3110,8548,積丹町,174200,154800,142100,3,3,6500,5600,2470,1900,1610,5300,26.4.1,26.4.1,25.4.1,Ⅰ−０
