,municipality_id,municipality,munici_English,Total population (Both sexes),Total population (0-14),Total population (15-64),Total population (65 and over),Foreigners (Total),Densely inhabited districts population,Live births,Deaths,Number of in-migrants from other municipalities,Number of out-migrants to other municipalities,Daytime population,Number of households (Total),Number of private households,Nuclear families,One-person households,No. of nuclear families with household members 65 years of age and over,No. of aged-couple households (Only aged couple),No. of aged-single-person households (Aged 65 and over),Marriages,Divorces,Total land area (Excl. the northern territories and Takeshima),Inhabitable area,Taxable income,Tax debtor (per income),Number of establishments,Number of establishments (Secondary industry),Number of establishments (Tertiary industry),Number of persons engaged,Number of persons engaged (Secondary industry),Number of persons engaged (Tertiary industry),Cultivated land area,"Value of manufactured goods shipments, etc.",Number of manufacturing employees,Annual sales of commercial goods,Number of establishments (Wholesale and retail trade),Number of employees (Wholesale and retail trade),Financial strength index (municipalities),Real term balance of revenue to expenditure (municipalities),Ratio of net cost of bonds (municipalities),Settlement of total revenue (municipalities),Settlement of total expenditure (municipalities),Local taxes (municipalities),Number of kindergartens,Number of Kindergarten students,Number of elementary schools,Number of elementary school teachers,Elementary school students,Number of lower secondary schools,Number of lower secondary school teachers,Lower secondary school students,Number of upper secondary schools,Upper secondary school students,Population in labour force,Employed persons,Unemployed persons,Persons employed in primary industry,Persons employed in secondary industry,Persons employed in tertiary industry,No. of employees,"No. of board member of company, etc.","No. of self-employed, employing others","No. of self-employed, not employing others",No. of family employees (Total),Population working in the same municipalities,Commuters to other municipality,Employed persons based on workplace,Workers commuting from other municipalities,No. of public halls,No. of libraries,Number of dwellings with occupying households,No. of owned houses,No. of rented houses,Area of floor space per dwelling,Population covered by waste processing service,Garbage planned collection population,Total volume of waste matter (Total),Rate of recycled,No. of retail stores,No. of eating and drinking places,No. of large-scale retail stores,No. of department stores and general merchandise store,General hospitals,Medical clinics,Dental clinic,Physicians,Dentists,No. of pharmacists,No. of elderly nursing facilities,No. of child welfare institutions (Excl. midwifery home and children's playground),Number of nursery centers,Number of infants enrolled in nursery centers,Persons insured by national health insurance
841,16207.0,黒部市　　　　,Kurobe-shi,40991,5117,22855,12266,180,...,287,455,1023,993,44285,14793,14737,8108,3626,3751,1773,1400,151,52,426.31,219.84,61520,21346,1824,390,1405,23521,11083,12137,28,199961,10448,53463,347,2099,0.68,4.2,13.4,20637,19916,8111,3,105,9,158,2140,4,88,1099,1,583,21511,20811,700,828,9056,10876,17623,841,386,1221,676,14432,6279,24797,10265,17,2,14200,11700,2250,164.26,943,41830,16408,22.1,376,147,4,1,4,26,16,120,24,93,3,17,14,1429,7817
842,16208.0,砺波市　　　　,Tonami-shi,49000,6733,28209,13837,444,...,360,556,1202,1300,46749,16220,16177,8394,3618,3399,1586,1224,199,66,127.03,92.46,69111,24470,2604,631,1918,24937,7627,16504,48,203743,5517,108701,540,3617,0.58,12.8,11.5,23962,22034,7035,7,343,8,181,2689,4,105,1462,2,1070,26468,25712,756,1294,8741,15445,21371,1112,463,1695,918,13527,12009,24287,10584,22,2,15160,12500,2660,181.33,3043,49094,16315,16.3,537,229,10,1,5,36,16,140,30,90,2,17,12,1148,9152
843,16209.0,小矢部市　　　,Oyabe-shi,30399,3319,16681,10386,273,6386,165,424,564,641,29784,9517,9478,4781,1738,2498,1171,863,122,31,134.07,74.94,39977,14878,1593,448,1116,14916,5911,8432,36,74200,4948,64943,394,2171,0.57,5.1,14.7,14352,13908,4675,1,10,5,92,1299,4,70,757,3,732,16336,15812,524,787,5517,9433,12826,850,319,1144,636,8923,6837,15709,6734,15,2,8460,7830,620,217.06,1802,30816,9406,14.6,425,105,3,0,5,14,11,55,17,45,0,13,13,939,6268
844,16210.0,南砺市　　　　,Nanto-shi,51327,5622,27152,18513,602,...,303,768,755,986,50294,16594,16555,8042,3326,4494,2241,1752,169,41,668.64,155.27,64809,24980,3201,845,2303,26910,12088,14279,73,220847,7975,50015,664,2810,0.36,7.3,4.7,39218,37102,6843,0,0,9,158,2312,8,123,1244,3,1060,27742,27029,713,1883,10014,15030,21129,1266,581,2598,1391,19005,7912,26548,7431,32,5,16350,14840,1510,221.67,1381,52659,15346,26.9,671,220,5,0,4,32,17,81,22,92,5,18,13,1520,11246
845,16211.0,射水市　　　　,Imizu-shi,92308,12368,53154,26457,1502,42798,632,1098,1911,2002,88382,32115,32054,18695,6921,7975,3967,2836,315,105,109.43,97.55,127818,44067,4334,954,3345,45249,15886,28946,37,493522,12481,288563,919,6622,0.64,4,10.7,45246,43833,13651,4,214,15,324,5055,6,185,2691,3,1354,48106,46605,1501,1099,14449,30472,39355,2077,871,2651,1305,24691,21520,43548,18463,1,5,31010,25200,5540,153.39,1369,94050,36319,25.9,845,305,15,1,4,56,35,127,52,202,10,34,25,2823,18634
846,16321.0,舟橋村　　　　,Funahashi-mura,2982,549,1833,599,7,...,31,22,132,88,2162,910,908,674,90,172,76,40,9,5,3.47,3.47,4903,1478,85,19,64,892,299,579,2,3449,185,965,12,115,0.34,7.8,9.7,2018,1904,386,0,0,1,17,235,1,17,127,0,0,1622,1586,36,67,490,1028,1383,60,25,85,33,287,1292,924,630,0,1,...,...,...,...,0,3024,1039,14.3,11,2,0,0,0,2,2,1,2,0,2,0,0,0,374
847,16322.0,上市町　　　　,Kamiichi-machi,20930,2302,11581,7034,191,...,103,271,320,456,18473,7395,7381,4310,1540,2180,1049,881,52,27,236.71,66.52,26275,10026,943,206,731,8577,3619,4935,16,80525,3090,15740,184,894,0.46,5.3,14.5,9684,9320,2720,0,0,7,80,883,1,36,524,1,477,10872,10496,376,460,3862,6108,8655,418,177,787,394,4412,5988,8460,3952,12,2,7120,6800,310,176.37,1611,21192,8423,20.6,194,48,1,0,1,10,6,40,8,93,1,13,10,560,4432
848,16323.0,立山町　　　　,Tateyama-machi,26317,3131,14745,7891,130,...,138,311,521,609,21796,9159,9142,5207,1906,2351,1129,876,76,28,307.29,161.53,33784,12609,982,279,684,8673,3519,4976,34,74813,3224,21683,163,1048,0.46,2.4,14.9,11818,11521,3186,0,0,9,113,1337,1,44,724,1,461,14083,13700,383,814,4432,8328,11330,542,314,921,513,5622,7979,9797,4076,13,1,8480,8330,150,170.22,2006,26497,11456,26.9,185,37,2,0,1,13,8,16,8,27,1,11,10,835,5201
849,16342.0,入善町　　　　,Nyuzen-machi,25335,2742,14093,8442,303,...,131,334,412,547,22098,8628,8608,4493,1857,2351,1054,889,52,24,71.25,62.04,33780,12688,1157,269,854,9990,4312,5194,38,94610,3264,24740,227,1088,0.54,5.7,10,12105,11518,3363,1,21,6,95,1118,2,49,624,1,433,13543,13099,444,883,5387,6786,10804,490,266,953,560,6957,6106,10351,3358,11,1,8140,7730,410,206.04,1369,25562,10925,20.2,225,75,1,0,2,14,9,22,10,21,3,11,10,772,5116
850,16343.0,朝日町　　　　,Asahi-machi,12246,1094,6141,5011,106,...,45,218,219,271,10837,4514,4502,2351,1080,1499,729,713,31,13,226.3,75.73,14691,5662,732,165,556,4643,1382,3151,14,13987,711,12359,133,581,0.34,9,9.1,9280,8689,1698,0,0,2,37,419,1,21,264,1,353,6195,6011,184,317,2123,3536,4818,255,145,485,268,3085,2894,4624,1507,11,1,...,...,...,...,1257,12564,5316,18.6,138,45,0,0,2,5,6,25,8,22,2,5,4,309,2847
