,time_pm,jyorei_nendo,市町村名
422,宮城県大崎市,2016.0,1
423,宮城県富谷市,2016.0,1
424,宮城県気仙沼市,2016.0,1
425,宮崎県川南町,2017.0,1
426,富山県富山市,2016.0,1
427,富山県高岡市,2017.0,1
428,山口県山口市,2017.0,1
429,山口県岩国市,2016.0,1
430,岐阜県下呂市,2017.0,1
431,岐阜県羽島市,2017.0,1
432,岐阜県養老町,2017.0,1
433,岡山県久米南町,2017.0,1
434,岩手県久慈市,2016.0,1
435,岩手県八幡平市,2017.0,1
436,岩手県奥州市,2017.0,1
437,岩手県宮古市,2016.0,1
438,岩手県紫波町,2016.0,1
439,岩手県紫波町,2017.0,1
440,岩手県西和賀町,2017.0,1
441,岩手県陸前高田市,2016.0,1
442,島根県出雲市,2016.0,1
443,島根県浜田市,2017.0,2
444,島根県益田市,2017.0,1
445,広島県広島市,2016.0,1
446,広島県東広島市,2017.0,1
447,広島県福山市,2017.0,1
448,徳島県那賀町,2016.0,1
449,徳島県那賀町,2017.0,1
450,愛媛県松山市,2017.0,1
451,愛知県半田市,2016.0,2
452,愛知県半田市,2017.0,1
453,愛知県大府市,2016.0,1
454,愛知県津島市,2017.0,1
455,愛知県設楽町,2017.0,1
456,愛知県豊橋市,2016.0,1
457,新潟県五泉市,2016.0,1
458,新潟県佐渡市,2017.0,3
459,新潟県小千谷市,2017.0,1
460,新潟県村上市,2016.0,1
461,新潟県胎内市,2017.0,1
462,新潟県阿賀町,2017.0,2
463,東京都品川区,2017.0,1
464,東京都小平市,2016.0,1
465,東京都清瀬市,2017.0,1
466,東京都町田市,2017.0,1
467,東京都福生市,2016.0,1
468,東京都足立区,2016.0,1
469,栃木県宇都宮市,2017.0,1
470,栃木県栃木市,2017.0,1
471,栃木県矢板市,2017.0,1
472,沖縄県浦添市,2016.0,1
473,滋賀県大津市,2016.0,6
474,滋賀県彦根市,2017.0,1
475,滋賀県東近江市,2016.0,1
476,滋賀県甲良町,2016.0,1
477,滋賀県甲良町,2017.0,1
478,熊本県和水町,2016.0,1
479,熊本県菊池市,2017.0,2
480,石川県加賀市,2016.0,1
481,石川県加賀市,2017.0,2
482,石川県金沢市,2017.0,2
483,神奈川県二宮町,2017.0,1
484,神奈川県南足柄市,2017.0,2
485,神奈川県大井町,2016.0,1
486,神奈川県横浜市,2016.0,2
487,神奈川県横須賀市,2016.0,1
488,神奈川県横須賀市,2017.0,1
489,神奈川県相模原市,2017.0,1
490,福岡県北九州市,2017.0,1
491,福岡県小竹町,2017.0,1
492,福岡県志免町,2016.0,1
493,福岡県志免町,2017.0,1
494,福岡県東峰村,2017.0,1
495,福岡県福岡市,2016.0,1
496,福岡県飯塚市,2016.0,2
497,福島県三春町,2017.0,1
498,福島県郡山市,2017.0,1
499,秋田県三種町,2017.0,1
500,秋田県羽後町,2017.0,1
501,群馬県伊勢崎市,2017.0,1
502,群馬県桐生市,2016.0,2
503,群馬県桐生市,2017.0,1
504,群馬県高崎市,2016.0,1
505,茨城県常総市,2016.0,1
506,茨城県潮来市,2016.0,1
507,茨城県石岡市,2017.0,1
508,長崎県小値賀町,2016.0,3
509,長崎県小値賀町,2017.0,1
510,長野県佐久市,2016.0,1
511,長野県佐久市,2017.0,1
512,長野県塩尻市,2016.0,1
513,長野県飯田市,2016.0,1
514,青森県おいらせ町,2017.0,1
515,青森県南部町,2017.0,1
516,青森県青森市,2016.0,1
517,静岡県伊豆の国市,2016.0,1
518,静岡県富士市,2016.0,1
519,静岡県静岡市,2016.0,1
