,ele_ID,prefecture_x,municipality_x,ymd,year,month,day,kokuji_dt,time_pm,pres_pm,nendo,kokuji_f1
355,高知県安芸市議会議員選挙（2006年08月27日投票）,高知県,安芸市,20060827.0,2006,8.0,27.0,2006-08-20,高知県安芸市,高知県安芸市,2006.0,2010-08-22
356,京都府綾部市議会議員選挙（2006年08月27日投票）,京都府,綾部市,20060827.0,2006,8.0,27.0,2006-08-20,京都府綾部市,京都府綾部市,2006.0,2010-08-22
357,高知県土佐清水市議会議員選挙（2006年08月27日投票）,高知県,土佐清水市,20060827.0,2006,8.0,27.0,2006-08-20,高知県土佐清水市,高知県土佐清水市,2006.0,2010-08-22
358,沖縄県南城市議会議員選挙（2006年09月03日投票）,沖縄県,南城市,20060903.0,2006,9.0,3.0,2006-08-27,沖縄県南城市,沖縄県南城市,2006.0,2010-09-05
359,岡山県早島町議会議員選挙（2006年09月03日投票）,岡山県,早島町,20060903.0,2006,9.0,3.0,2006-08-29,岡山県早島町,岡山県早島町,2006.0,2010-08-24
360,沖縄県八重瀬町議会議員選挙（2006年09月03日投票）,沖縄県,八重瀬町,20060903.0,2006,9.0,3.0,2006-08-29,沖縄県八重瀬町,沖縄県八重瀬町,2006.0,2010-09-07
361,大阪府松原市議会議員選挙（2006年09月03日投票）,大阪府,松原市,20060903.0,2006,9.0,3.0,2006-08-27,大阪府松原市,大阪府松原市,2006.0,2010-08-29
362,沖縄県粟国村議会議員選挙（2006年09月10日投票）,沖縄県,粟国村,20060910.0,2006,9.0,10.0,2006-09-05,沖縄県粟国村,沖縄県粟国村,2006.0,2010-08-31
363,沖縄県中城村議会議員選挙（2006年09月10日投票）,沖縄県,中城村,20060910.0,2006,9.0,10.0,2006-09-05,沖縄県中城村,沖縄県中城村,2006.0,2010-09-07
364,沖縄県大宜味村議会議員選挙（2006年09月10日投票）,沖縄県,大宜味村,20060910.0,2006,9.0,10.0,2006-09-05,沖縄県大宜味村,沖縄県大宜味村,2006.0,2010-09-07
365,沖縄県北大東村議会議員選挙（2006年09月10日投票）,沖縄県,北大東村,20060910.0,2006,9.0,10.0,2006-09-05,沖縄県北大東村,沖縄県北大東村,2006.0,2010-09-07
366,沖縄県西原町議会議員選挙（2006年09月10日投票）,沖縄県,西原町,20060910.0,2006,9.0,10.0,2006-09-05,沖縄県西原町,沖縄県西原町,2006.0,2010-09-07
367,沖縄県今帰仁村議会議員選挙（2006年09月10日投票）,沖縄県,今帰仁村,20060910.0,2006,9.0,10.0,2006-09-05,沖縄県今帰仁村,沖縄県今帰仁村,2006.0,2010-09-07
368,沖縄県竹富町議会議員選挙（2006年09月10日投票）,沖縄県,竹富町,20060910.0,2006,9.0,10.0,2006-09-05,沖縄県竹富町,沖縄県竹富町,2006.0,2010-09-07
369,沖縄県恩納村議会議員選挙（2006年09月10日投票）,沖縄県,恩納村,20060910.0,2006,9.0,10.0,2006-09-05,沖縄県恩納村,沖縄県恩納村,2006.0,2010-09-07
370,沖縄県伊平屋村議会議員選挙（2006年09月10日投票）,沖縄県,伊平屋村,20060910.0,2006,9.0,10.0,2006-09-05,沖縄県伊平屋村,沖縄県伊平屋村,2006.0,2010-09-07
371,沖縄県宜野座村議会議員選挙（2006年09月10日投票）,沖縄県,宜野座村,20060910.0,2006,9.0,10.0,2006-09-05,沖縄県宜野座村,沖縄県宜野座村,2006.0,2010-09-07
372,沖縄県座間味村議会議員選挙（2006年09月10日投票）,沖縄県,座間味村,20060910.0,2006,9.0,10.0,2006-09-05,沖縄県座間味村,沖縄県座間味村,2006.0,2010-09-07
373,高知県香美市議会議員選挙（2006年09月10日投票）,高知県,香美市,20060910.0,2006,9.0,10.0,2006-09-03,高知県香美市,高知県香美市,2006.0,2010-09-05
374,沖縄県石垣市議会議員選挙（2006年09月10日投票）,沖縄県,石垣市,20060910.0,2006,9.0,10.0,2006-09-03,沖縄県石垣市,沖縄県石垣市,2006.0,2010-09-05
