"","","","","/項目 コード","F1101","F110101","F110102","F1102","F110201","F110202","F1107","F1108","F2116","F2201","F2211","F2221","F2401","F2402","F2409","F2410","F2411","F2705","F2803"
"調査年 コード","調査年","地域 コード","地域","/項目","F1101_労働力人口【人】","F110101_労働力人口（男）【人】","F110102_労働力人口（女）【人】","F1102_就業者数【人】","F110201_就業者数（男）【人】","F110202_就業者数（女）【人】","F1107_完全失業者数【人】","F1108_非労働力人口【人】","F2116_就業者数（65歳以上）【人】","F2201_第1次産業就業者数【人】","F2211_第2次産業就業者数【人】","F2221_第3次産業就業者数【人】","F2401_雇用者数（国勢調査結果）【人】","F2402_役員数【人】","F2409_雇用者数（正規の職員・従業員）【人】","F2410_雇用者数（労働者派遣事業所の派遣社員）【人】","F2411_雇用者数（パート・アルバイト・その他）【人】","F2705_他市区町村への通勤者数【人】","F2803_他市区町村からの通勤者数【人】"
"2015100000","2015年度","01398","北海道 喜茂別町","","1237","709","528","1202","686","516","35","821","222","275","135","781","828","49","495","27","306","289","281"
"2015100000","2015年度","01399","北海道 京極町","","1609","917","692","1546","872","674","63","1151","256","337","297","907","1105","102","740","15","350","313","457"
"2015100000","2015年度","01400","北海道 倶知安町","","8065","4792","3273","7820","4628","3192","245","4275","918","709","925","5957","6024","387","4083","77","1864","914","1430"
"2015100000","2015年度","01401","北海道 共和町","","3571","2277","1294","3496","2229","1267","75","1904","551","918","767","1802","2439","125","1772","45","622","1290","971"
"2015100000","2015年度","01402","北海道 岩内町","","6589","3755","2834","6281","3538","2743","308","4910","985","217","2040","3946","5084","434","3389","86","1609","1683","892"
"2015100000","2015年度","01403","北海道 泊村","","911","580","331","887","565","322","24","664","108","76","137","671","745","26","529","13","203","162","1497"
"2015100000","2015年度","01404","北海道 神恵内村","","485","300","185","472","290","182","13","441","106","87","54","331","362","11","232","6","124","111","49"
"2015100000","2015年度","01405","北海道 積丹町","","1088","641","447","1043","603","440","45","824","310","303","141","566","588","47","327","6","255","192","112"
"2015100000","2015年度","01406","北海道 古平町","","1630","910","720","1574","866","708","56","1301","332","224","467","882","1115","72","698","21","396","284","263"
"2015100000","2015年度","01407","北海道 仁木町","","1902","936","966","1873","913","960","29","1224","468","949","128","779","1031","90","683","11","337","389","619"
"2015100000","2015年度","01408","北海道 余市町","","9486","5182","4304","8938","4782","4156","548","8068","1527","1488","1491","5932","6755","436","4076","84","2595","1827","1506"
"2015100000","2015年度","01409","北海道 赤井川村","","656","384","272","642","374","268","14","326","129","225","71","346","433","25","236","13","184","86","234"
"2015100000","2015年度","01423","北海道 南幌町","","4161","2295","1866","3983","2180","1803","178","2945","504","753","728","2397","2991","174","1717","145","1129","1870","1066"
"2015100000","2015年度","01424","北海道 奈井江町","","2681","1523","1158","2584","1457","1127","97","2474","441","435","692","1450","1906","159","1228","34","644","832","1352"
"2015100000","2015年度","01425","北海道 上砂川町","","1335","766","569","1157","647","510","178","1877","161","24","316","806","1009","44","601","11","397","590","359"
"2015100000","2015年度","01427","北海道 由仁町","","2834","1556","1278","2760","1505","1255","74","1936","575","974","426","1335","1597","174","936","33","628","720","889"
"2015100000","2015年度","01428","北海道 長沼町","","6035","3338","2697","5851","3218","2633","184","3774","1166","1840","704","3183","3655","320","2209","159","1287","1494","1794"
"2015100000","2015年度","01429","北海道 栗山町","","6063","3308","2755","5847","3170","2677","216","4814","1071","1299","1155","3279","4128","310","2535","79","1514","1391","1560"
"2015100000","2015年度","01430","北海道 月形町","","1752","1009","743","1710","979","731","42","2543","346","540","187","959","1108","78","715","27","366","178","539"
"2015100000","2015年度","01431","北海道 浦臼町","","1046","587","459","1023","571","452","23","716","256","523","101","385","525","47","315","10","200","177","237"
"2015100000","2015年度","01432","北海道 新十津川町","","3323","1818","1505","3219","1752","1467","104","2730","633","853","481","1832","2047","127","1222","35","790","1280","900"
"2015100000","2015年度","01433","北海道 妹背牛町","","1508","851","657","1470","826","644","38","1309","323","527","263","680","807","76","481","14","312","383","474"
"2015100000","2015年度","01434","北海道 秩父別町","","1204","660","544","1175","643","532","29","1082","234","442","125","607","678","47","416","4","258","308","272"
"2015100000","2015年度","01436","北海道 雨竜町","","1290","711","579","1273","701","572","17","1196","281","498","121","653","707","71","448","9","250","288","364"
"2015100000","2015年度","01437","北海道 北竜町","","1023","577","446","995","554","441","28","775","254","482","90","423","500","37","293","8","199","148","222"
"2015100000","2015年度","01438","北海道 沼田町","","1670","934","736","1634","908","726","36","1226","353","510","236","886","1015","70","612","12","391","246","362"
"2015100000","2015年度","01452","北海道 鷹栖町","","3473","1864","1609","3347","1783","1564","126","2450","520","629","448","2229","2420","143","1493","53","874","1764","1023"
"2015100000","2015年度","01453","北海道 東神楽町","","5154","2784","2370","4999","2691","2308","155","3313","637","676","774","3375","3891","226","2481","58","1352","2938","1519"
"2015100000","2015年度","01454","北海道 当麻町","","3422","1832","1590","3299","1758","1541","123","2544","759","968","519","1808","2114","139","1240","50","824","1277","854"
"2015100000","2015年度","01455","北海道 比布町","","1995","1116","879","1937","1074","863","58","1424","438","557","281","1094","1364","95","881","28","455","715","405"
"2015100000","2015年度","01456","北海道 愛別町","","1472","796","676","1428","772","656","44","1228","296","435","225","762","1002","104","598","15","389","315","345"
"2015100000","2015年度","01457","北海道 上川町","","2120","1210","910","2077","1181","896","43","1567","369","244","222","1609","1699","111","1018","26","655","116","377"
"2015100000","2015年度","01458","北海道 東川町","","4039","2181","1858","3923","2105","1818","116","2917","716","817","663","2387","2736","198","1662","44","1030","1572","1594"
"2015100000","2015年度","01459","北海道 美瑛町","","5369","2909","2460","5206","2807","2399","163","3788","963","1540","591","2990","3285","236","1911","70","1304","815","926"
"2015100000","2015年度","01460","北海道 上富良野町","","5807","3430","2377","5661","3342","2319","146","3506","841","975","671","3968","4370","202","2886","58","1426","973","1025"
