"","","","","/項目 コード","D1202","D2201","D2202","D2203","D2204","D2205","D2206","D2209","D2210","D2211","D2212","D2213","D2214","D2215","D3205","D420102","D420202"
"調査年 コード","調査年","地域 コード","地域","/項目","D1202_一般行政部門職員数（市区町村）【人】","D2201_財政力指数（市町村財政）【‐】","D2202_実質収支比率（市町村財政）【％】","D2203_経常収支比率（市町村財政）【％】","D2204_公債費比率（市町村財政）【％】","D2205_基準財政収入額（市町村財政）【千円】","D2206_基準財政需要額（市町村財政）【千円】","D2209_一般財源（市町村財政）【千円】","D2210_投資的経費（市町村財政）【千円】","D2211_実質公債費比率（市町村財政）【％】","D2212_将来負担比率（市町村財政）【％】","D2213_標準財政規模（市町村財政）【千円】","D2214_実質赤字比率（市町村財政）【％】","D2215_連結実質赤字比率（市町村財政）【％】","D3205_地方債現在高（市町村財政）【千円】","D420102_市町村民税【千円】","D420202_固定資産税（市町村税）【千円】"
"1989100000","1989年度","34209","広島県 三次市","","***","-","-","***","-","***","***","***","***","***","***","***","***","***","***","***","***"
"1989100000","1989年度","34210","広島県 庄原市","","***","-","-","***","-","***","***","***","***","***","***","***","***","***","***","***","***"
"1989100000","1989年度","34211","広島県 大竹市","","***","0.95","4.7","***","6.3","***","***","***","***","***","***","***","***","***","***","***","***"
"1989100000","1989年度","34212","広島県 東広島市","","***","-","-","***","-","***","***","***","***","***","***","***","***","***","***","***","***"
"1989100000","1989年度","34213","広島県 廿日市市","","***","-","-","***","-","***","***","***","***","***","***","***","***","***","***","***","***"
"1989100000","1989年度","34214","広島県 安芸高田市","","***","-","-","***","-","***","***","***","***","***","***","***","***","***","***","***","***"
"1989100000","1989年度","34215","広島県 江田島市","","***","-","-","***","-","***","***","***","***","***","***","***","***","***","***","***","***"
"1989100000","1989年度","34302","広島県 府中町","","***","1.02","0.6","***","12.9","***","***","***","***","***","***","***","***","***","***","***","***"
"1989100000","1989年度","34304","広島県 海田町","","***","1.06","8.5","***","8.2","***","***","***","***","***","***","***","***","***","***","***","***"
"1989100000","1989年度","34307","広島県 熊野町","","***","0.53","5.6","***","9.2","***","***","***","***","***","***","***","***","***","***","***","***"
"1989100000","1989年度","34309","広島県 坂町","","***","0.84","5.2","***","10.9","***","***","***","***","***","***","***","***","***","***","***","***"
"1989100000","1989年度","34368","広島県 安芸太田町","","***","-","-","***","-","***","***","***","***","***","***","***","***","***","***","***","***"
"1989100000","1989年度","34369","広島県 北広島町","","***","-","-","***","-","***","***","***","***","***","***","***","***","***","***","***","***"
"1989100000","1989年度","34431","広島県 大崎上島町","","***","-","-","***","-","***","***","***","***","***","***","***","***","***","***","***","***"
