"","","","","/項目 コード","D3201","D320101","D320102","D320103","D320108","D320111","D320113","D320115","D320116","D320117","D320118","D320119","D320120","D320121","D320122","D3202","D3203102"
"調査年 コード","調査年","地域 コード","地域","/項目","D3201_歳入決算総額（市町村財政）【千円】","D320101_地方税（市町村財政）【千円】","D320102_地方譲与税（市町村財政）【千円】","D320103_利子割交付金（市町村財政）【千円】","D320108_地方交付税（市町村財政）【千円】","D320111_使用料（市町村財政）【千円】","D320113_国庫支出金（市町村財政）【千円】","D320115_県支出金（市町村財政）【千円】","D320116_財産収入（市町村財政）【千円】","D320117_寄附金（市町村財政）【千円】","D320118_繰入金（市町村財政）【千円】","D320119_繰越金（市町村財政）【千円】","D320120_諸収入（市町村財政）【千円】","D320121_地方債（市町村財政）【千円】","D320122_地方特例交付金（市町村財政）【千円】","D3202_自主財源額（市町村財政）【千円】","D3203102_小学校費（市町村財政）【千円】"
"1988100000","1988年度","32207","島根県 江津市","","11859186","2598612","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***"
"1988100000","1988年度","32209","島根県 雲南市","","18610891","2962406","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***"
"1988100000","1988年度","32343","島根県 奥出雲町","","7660461","986964","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***"
"1988100000","1988年度","32386","島根県 飯南町","","4931334","372193","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***"
"1988100000","1988年度","32441","島根県 川本町","","2836403","401106","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***"
"1988100000","1988年度","32448","島根県 美郷町","","5514350","464339","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***"
"1988100000","1988年度","32449","島根県 邑南町","","8857772","897746","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***"
"1988100000","1988年度","32501","島根県 津和野町","","5309771","757983","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***"
"1988100000","1988年度","32505","島根県 吉賀町","","4395218","518540","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***"
"1988100000","1988年度","32525","島根県 海士町","","2671468","211675","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***"
"1988100000","1988年度","32526","島根県 西ノ島町","","2926584","283655","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***"
"1988100000","1988年度","32527","島根県 知夫村","","895865","42876","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***"
"1988100000","1988年度","32528","島根県 隠岐の島町","","11468328","1312934","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***"
"1988100000","1988年度","33100","岡山県 岡山市","","154015852","84066074","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***"
"1988100000","1988年度","33101","岡山県 岡山市 北区","","-","-","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***"
"1988100000","1988年度","33102","岡山県 岡山市 中区","","-","-","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***"
