"","","","","/項目 コード","B1101","B1103"
"調査年 コード","調査年","地域 コード","地域","/項目","B1101_総面積（北方地域及び竹島を除く）【ｈａ】","B1103_可住地面積【ｈａ】"
"2019100000","2019年度","04213","宮城県 栗原市","","80497","36915"
"2019100000","2019年度","04214","宮城県 東松島市","","10131","7343"
"2019100000","2019年度","04215","宮城県 大崎市","","79681","37431"
"2019100000","2019年度","04216","宮城県 富谷市","","4918","2769"
"2019100000","2019年度","04301","宮城県 蔵王町","","15283","6742"
"2019100000","2019年度","04302","宮城県 七ヶ宿町","","26309","3053"
"2019100000","2019年度","04321","宮城県 大河原町","","2499","1786"
"2019100000","2019年度","04322","宮城県 村田町","","7838","3675"
"2019100000","2019年度","04323","宮城県 柴田町","","5403","3510"
"2019100000","2019年度","04324","宮城県 川崎町","","27077","6321"
"2019100000","2019年度","04341","宮城県 丸森町","","27330","8140"
"2019100000","2019年度","04361","宮城県 亘理町","","7360","6164"
"2019100000","2019年度","04362","宮城県 山元町","","6458","4282"
"2019100000","2019年度","04401","宮城県 松島町","","5356","2596"
"2019100000","2019年度","04404","宮城県 七ヶ浜町","","1319","1118"
"2019100000","2019年度","04406","宮城県 利府町","","4489","2277"
"2019100000","2019年度","04421","宮城県 大和町","","22549","6426"
"2019100000","2019年度","04422","宮城県 大郷町","","8201","4519"
"2019100000","2019年度","04424","宮城県 大衡村","","6032","3184"
"2019100000","2019年度","04444","宮城県 色麻町","","10928","4658"
"2019100000","2019年度","04445","宮城県 加美町","","46067","13188"
"2019100000","2019年度","04501","宮城県 涌谷町","","8216","5944"
"2019100000","2019年度","04505","宮城県 美里町","","7498","7485"
"2019100000","2019年度","04581","宮城県 女川町","","6535","948"
"2019100000","2019年度","04606","宮城県 南三陸町","","16340","3745"
"2019100000","2019年度","05201","秋田県 秋田市","","90607","29066"
"2019100000","2019年度","05202","秋田県 能代市","","42695","17405"
"2019100000","2019年度","05203","秋田県 横手市","","69280","31548"
"2019100000","2019年度","05204","秋田県 大館市","","91322","19113"
"2019100000","2019年度","05206","秋田県 男鹿市","","24109","11569"
"2019100000","2019年度","05207","秋田県 湯沢市","","79091","15844"
"2019100000","2019年度","05209","秋田県 鹿角市","","70752","14838"
"2019100000","2019年度","05210","秋田県 由利本荘市","","120959","29726"
"2019100000","2019年度","05211","秋田県 潟上市","","9772","6644"
"2019100000","2019年度","05212","秋田県 大仙市","","86679","36805"
"2019100000","2019年度","05213","秋田県 北秋田市","","115276","18929"
"2019100000","2019年度","05214","秋田県 にかほ市","","24113","7814"
"2019100000","2019年度","05215","秋田県 仙北市","","109356","15175"
