"","","","","/項目 コード","D3201","D320101","D320102","D320103","D320108","D320111","D320113","D320115","D320116","D320117","D320118","D320119","D320120","D320121","D320122","D3202","D3203102"
"調査年 コード","調査年","地域 コード","地域","/項目","D3201_歳入決算総額（市町村財政）【千円】","D320101_地方税（市町村財政）【千円】","D320102_地方譲与税（市町村財政）【千円】","D320103_利子割交付金（市町村財政）【千円】","D320108_地方交付税（市町村財政）【千円】","D320111_使用料（市町村財政）【千円】","D320113_国庫支出金（市町村財政）【千円】","D320115_県支出金（市町村財政）【千円】","D320116_財産収入（市町村財政）【千円】","D320117_寄附金（市町村財政）【千円】","D320118_繰入金（市町村財政）【千円】","D320119_繰越金（市町村財政）【千円】","D320120_諸収入（市町村財政）【千円】","D320121_地方債（市町村財政）【千円】","D320122_地方特例交付金（市町村財政）【千円】","D3202_自主財源額（市町村財政）【千円】","D3203102_小学校費（市町村財政）【千円】"
"2003100000","2003年度","09321","（旧）栃木県 西方町","","3670938","947957","49602","6129","718821","28048","76802","193425","***","***","399199","56309","40192","983700","20312","1482156","21482"
"2003100000","2003年度","09367","（旧）栃木県 岩舟町","","6738847","1869286","93756","16527","1358928","61179","263660","371108","***","***","332342","233055","105597","1686400","61485","2627433","116111"
"2003100000","2003年度","11226","（旧）埼玉県 鳩ヶ谷市","","17376249","6998762","123851","47966","2255424","200710","1567478","1328863","***","***","565650","574073","490175","2339400","244277","8951296","396943"
"2003100000","2003年度","23481","（旧）愛知県 一色町","","7588290","2768369","115861","28344","1401763","237797","391028","378823","***","***","58117","447365","269013","1019100","113324","3812523","133281"
"2003100000","2003年度","23482","（旧）愛知県 吉良町","","7673547","3038364","169602","25888","786096","174309","309457","561306","***","***","483834","314426","403523","645500","105988","4675893","121507"
"2003100000","2003年度","23483","（旧）愛知県 幡豆町","","3936557","1483220","76561","14800","784010","105861","122611","192508","***","***","92425","182683","155581","428200","63174","2063736","60921"
"2003100000","2003年度","32304","（旧）島根県 東出雲町","","5411232","1240071","71867","12074","1826979","165663","623976","258217","***","***","0","247151","58284","576950","38503","1870260","471820"
"2003100000","2003年度","32401","（旧）島根県 斐川町","","16067568","3308028","567456","25352","3084827","274720","757679","1991165","***","***","662765","249292","1545354","2894275","81840","6299116","137986"
"2002100000","2002年度","03422","（旧）岩手県 藤沢町","","6566292","591930","146806","7581","3200419","82919","172455","564019","***","***","611878","28627","161940","697975","17500","1640800","86930"
"2002100000","2002年度","09321","（旧）栃木県 西方町","","3221921","1022058","46796","8814","799376","23624","69550","204223","***","***","211692","136866","37600","491329","19770","1454045","41872"
"2002100000","2002年度","09367","（旧）栃木県 岩舟町","","6243963","1976214","88507","24045","1522755","51988","204545","234775","***","***","284080","227868","78406","1210970","65693","2660652","135256"
"2002100000","2002年度","11226","（旧）埼玉県 鳩ヶ谷市","","17898082","7175138","118401","68044","2776780","199666","1703376","1321094","***","***","646618","649968","467900","1874100","243534","9327942","241294"
