"","","","","/項目 コード","D1202","D2201","D2202","D2203","D2204","D2205","D2206","D2209","D2210","D2211","D2212","D3205","D420102","D420202"
"調査年 コード","調査年","地域 コード","地域","/項目","D1202_一般行政部門職員数（市区町村）【人】","D2201_財政力指数（市町村財政）【‐】","D2202_実質収支比率（市町村財政）【％】","D2203_経常収支比率（市町村財政）【％】","D2204_公債費比率（市町村財政）【％】","D2205_基準財政収入額（市町村財政）【千円】","D2206_基準財政需要額（市町村財政）【千円】","D2209_一般財源（市町村財政）【千円】","D2210_投資的経費（市町村財政）【千円】","D2211_実質公債費比率（市町村財政）【％】","D2212_将来負担比率（市町村財政）【％】","D3205_地方債現在高（市町村財政）【千円】","D420102_市町村民税【千円】","D420202_固定資産税（市町村税）【千円】"
"2000100000","2000年度","23483","（旧）愛知県 幡豆町","","123","0.55","6.4","77.1","5.7","1403628","2513156","2880413","1092375","***","***","***","***","***"
"2000100000","2000年度","32304","（旧）島根県 東出雲町","","92","0.40","2.4","89.4","20.4","1095188","2882563","3270352","716115","***","***","***","***","***"
"2000100000","2000年度","32401","（旧）島根県 斐川町","","149","0.50","1.2","79.6","16.7","3081872","6305224","7440681","3642708","***","***","***","***","***"
"1999100000","1999年度","03422","（旧）岩手県 藤沢町","","***","0.19","1.0","***","19.1","***","***","***","***","***","***","***","***","***"
"1999100000","1999年度","09321","（旧）栃木県 西方町","","***","0.44","8.8","***","9.3","***","***","***","***","***","***","***","***","***"
"1999100000","1999年度","09367","（旧）栃木県 岩舟町","","***","0.55","5.5","***","11.7","***","***","***","***","***","***","***","***","***"
"1999100000","1999年度","11226","（旧）埼玉県 鳩ヶ谷市","","***","0.69","3.8","***","8.9","***","***","***","***","***","***","***","***","***"
"1999100000","1999年度","23481","（旧）愛知県 一色町","","***","0.63","5.9","***","8.5","***","***","***","***","***","***","***","***","***"
"1999100000","1999年度","23482","（旧）愛知県 吉良町","","***","0.74","5.8","***","9.5","***","***","***","***","***","***","***","***","***"
"1999100000","1999年度","23483","（旧）愛知県 幡豆町","","***","0.55","6.8","***","6.4","***","***","***","***","***","***","***","***","***"
"1999100000","1999年度","32304","（旧）島根県 東出雲町","","***","0.43","3.4","***","19.4","***","***","***","***","***","***","***","***","***"
"1999100000","1999年度","32401","（旧）島根県 斐川町","","***","0.51","0.8","***","18.0","***","***","***","***","***","***","***","***","***"
"1998100000","1998年度","03422","（旧）岩手県 藤沢町","","***","0.20","1.6","***","17.6","***","***","***","***","***","***","***","***","***"
"1998100000","1998年度","09321","（旧）栃木県 西方町","","***","0.43","8.5","***","8.8","***","***","***","***","***","***","***","***","***"
"1998100000","1998年度","09367","（旧）栃木県 岩舟町","","***","0.56","5.5","***","12.5","***","***","***","***","***","***","***","***","***"
"1998100000","1998年度","11226","（旧）埼玉県 鳩ヶ谷市","","***","0.71","5.2","***","8.4","***","***","***","***","***","***","***","***","***"
"1998100000","1998年度","23481","（旧）愛知県 一色町","","***","0.64","7.7","***","8.8","***","***","***","***","***","***","***","***","***"
"1998100000","1998年度","23482","（旧）愛知県 吉良町","","***","0.74","5.7","***","9.1","***","***","***","***","***","***","***","***","***"
"1998100000","1998年度","23483","（旧）愛知県 幡豆町","","***","0.55","3.8","***","6.4","***","***","***","***","***","***","***","***","***"
"1998100000","1998年度","32304","（旧）島根県 東出雲町","","***","0.45","2.7","***","17.6","***","***","***","***","***","***","***","***","***"
"1998100000","1998年度","32401","（旧）島根県 斐川町","","***","0.52","1.7","***","15.6","***","***","***","***","***","***","***","***","***"
"1997100000","1997年度","03422","（旧）岩手県 藤沢町","","***","0.19","1.9","***","15.9","***","***","***","***","***","***","***","***","***"
"1997100000","1997年度","09321","（旧）栃木県 西方町","","***","0.43","7.8","***","8.8","***","***","***","***","***","***","***","***","***"
"1997100000","1997年度","09367","（旧）栃木県 岩舟町","","***","0.57","4.3","***","13.4","***","***","***","***","***","***","***","***","***"
"1997100000","1997年度","11226","（旧）埼玉県 鳩ヶ谷市","","***","0.73","3.5","***","7.4","***","***","***","***","***","***","***","***","***"
"1997100000","1997年度","23481","（旧）愛知県 一色町","","***","0.65","5.5","***","9.0","***","***","***","***","***","***","***","***","***"
"1997100000","1997年度","23482","（旧）愛知県 吉良町","","***","0.75","5.5","***","9.9","***","***","***","***","***","***","***","***","***"
"1997100000","1997年度","23483","（旧）愛知県 幡豆町","","***","0.55","4.0","***","6.8","***","***","***","***","***","***","***","***","***"
"1997100000","1997年度","32304","（旧）島根県 東出雲町","","***","0.45","1.9","***","14.9","***","***","***","***","***","***","***","***","***"
"1997100000","1997年度","32401","（旧）島根県 斐川町","","***","0.50","3.2","***","15.0","***","***","***","***","***","***","***","***","***"
"1996100000","1996年度","03422","（旧）岩手県 藤沢町","","***","0.19","2.3","***","14.6","***","***","***","***","***","***","***","***","***"
"1996100000","1996年度","09321","（旧）栃木県 西方町","","***","0.43","8.3","***","8.3","***","***","***","***","***","***","***","***","***"
"1996100000","1996年度","09367","（旧）栃木県 岩舟町","","***","0.57","4.3","***","14.6","***","***","***","***","***","***","***","***","***"
"1996100000","1996年度","11226","（旧）埼玉県 鳩ヶ谷市","","***","0.76","5.1","***","6.8","***","***","***","***","***","***","***","***","***"
"1996100000","1996年度","23481","（旧）愛知県 一色町","","***","0.66","3.5","***","9.2","***","***","***","***","***","***","***","***","***"
"1996100000","1996年度","23482","（旧）愛知県 吉良町","","***","0.76","5.9","***","9.3","***","***","***","***","***","***","***","***","***"
