"","","","","/項目 コード","D3203","D320301","D320302","D320303","D320304","D320305","D320306","D320307","D320308","D320309","D320310","D320311","D320312","D320401","D320402","D320403","D320404","D320405","D320406","D320407","D320408","D320410","D320411","D320412"
"調査年 コード","調査年","地域 コード","地域","/項目","D3203_歳出決算総額（市町村財政）【千円】","D320301_議会費（市町村財政）【千円】","D320302_総務費（市町村財政）【千円】","D320303_民生費（市町村財政）【千円】","D320304_衛生費（市町村財政）【千円】","D320305_労働費（市町村財政）【千円】","D320306_農林水産業費（市町村財政）【千円】","D320307_商工費（市町村財政）【千円】","D320308_土木費（市町村財政）【千円】","D320309_消防費（市町村財政）【千円】","D320310_教育費（市町村財政）【千円】","D320311_災害復旧費（市町村財政）【千円】","D320312_公債費（市町村財政）（目的別歳出内訳）【千円】","D320401_人件費（市町村財政）【千円】","D320402_物件費（市町村財政）【千円】","D320403_維持補修費（市町村財政）【千円】","D320404_扶助費（市町村財政）【千円】","D320405_補助費等（市町村財政）【千円】","D320406_普通建設事業費（市町村財政）【千円】","D320407_災害復旧事業費（市町村財政）【千円】","D320408_失業対策事業費（市町村財政）【千円】","D320410_積立金（市町村財政）【千円】","D320411_投資及び出資金（市町村財政）【千円】","D320412_貸付金（市町村財政）【千円】"
"2000100000","2000年度","11226","（旧）埼玉県 鳩ヶ谷市","","19464555","242005","2051935","3919975","1410327","75211","40993","242866","7525610","751098","1963923","0","1240612","4626315","2433596","132131","1597011","660501","6391386","0","***","350010","126650","223730"
"2000100000","2000年度","23481","（旧）愛知県 一色町","","6887518","126867","1104253","1504960","677341","56578","566851","96383","752395","357262","998030","0","515393","1915954","1090018","98103","317561","872803","1049059","0","***","293839","46726","179980"
"2000100000","2000年度","23482","（旧）愛知県 吉良町","","7009673","116641","911663","1323147","471260","18230","1140107","155295","936386","347841","1009826","5044","574233","1689434","822764","117781","285220","891586","1964732","5044","***","194699","50","65000"
"2000100000","2000年度","23483","（旧）愛知県 幡豆町","","4640964","91755","957990","831715","247901","0","349444","90446","1043153","274698","508969","20429","224464","1084171","603884","23624","210790","525642","1071946","20429","***","413409","0","35000"
"2000100000","2000年度","32304","（旧）島根県 東出雲町","","4667323","92292","661515","780456","511301","0","410913","55702","614337","202077","410630","49884","878216","1030297","502696","32885","145226","605473","666231","49884","***","109474","0","12500"
"2000100000","2000年度","32401","（旧）島根県 斐川町","","12630690","131224","1267016","1592867","563241","27249","2443835","747641","2286120","336858","1637505","6300","1590834","1781112","1062439","92516","786799","1775224","3636408","6300","***","179102","1300","536723"
"1999100000","1999年度","03422","（旧）岩手県 藤沢町","","7479003","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***"
"1999100000","1999年度","09321","（旧）栃木県 西方町","","3336939","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***"
"1999100000","1999年度","09367","（旧）栃木県 岩舟町","","5433755","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***"
"1999100000","1999年度","11226","（旧）埼玉県 鳩ヶ谷市","","21496420","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***"
"1999100000","1999年度","23481","（旧）愛知県 一色町","","7172830","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***"
"1999100000","1999年度","23482","（旧）愛知県 吉良町","","7221399","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***"
"1999100000","1999年度","23483","（旧）愛知県 幡豆町","","4664242","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***"
"1999100000","1999年度","32304","（旧）島根県 東出雲町","","6150786","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***"
"1999100000","1999年度","32401","（旧）島根県 斐川町","","14318819","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***"
