"","","","","/項目 コード","H8101","H8102","H8103","H810402","H810408","H810409"
"調査年 コード","調査年","地域 コード","地域","/項目","H8101_都市計画区域指定面積【ｈａ】","H8102_市街化調整区域面積【ｈａ】","H8103_市街化区域面積【ｈａ】","H810402_住居地域面積【ｈａ】","H810408_商業・近隣商業地域面積【ｈａ】","H810409_工業・準工業地域面積【ｈａ】"
"1986100000","1986年度","11226","（旧）埼玉県 鳩ヶ谷市","","***","0","***","403.8","21.0","68.0"
"1986100000","1986年度","23481","（旧）愛知県 一色町","","***","1689","***","232.0","11.0","15.0"
"1986100000","1986年度","23482","（旧）愛知県 吉良町","","***","3318","***","198.0","8.0","56.0"
"1986100000","1986年度","23483","（旧）愛知県 幡豆町","","***","2382","***","117.0","5.0","33.0"
"1986100000","1986年度","32304","（旧）島根県 東出雲町","","***","1385","***","132.0","8.0","97.0"
"1986100000","1986年度","32401","（旧）島根県 斐川町","","***","0","***","136.0","79.0","168.0"
"1985100000","1985年度","03422","（旧）岩手県 藤沢町","","***","0","***","0.0","0.0","0.0"
"1985100000","1985年度","09321","（旧）栃木県 西方町","","***","0","***","54.0","4.0","0.0"
"1985100000","1985年度","09367","（旧）栃木県 岩舟町","","***","4292","***","227.5","6.0","32.0"
"1985100000","1985年度","11226","（旧）埼玉県 鳩ヶ谷市","","***","0","***","403.8","21.0","68.0"
"1985100000","1985年度","23481","（旧）愛知県 一色町","","***","1689","***","232.0","11.0","15.0"
"1985100000","1985年度","23482","（旧）愛知県 吉良町","","***","3318","***","198.0","8.0","56.0"
"1985100000","1985年度","23483","（旧）愛知県 幡豆町","","***","2382","***","117.0","5.0","33.0"
"1985100000","1985年度","32304","（旧）島根県 東出雲町","","***","1385","***","132.0","8.0","97.0"
"1985100000","1985年度","32401","（旧）島根県 斐川町","","***","0","***","138.0","77.0","146.0"
