"","","","","/項目 コード","B1101","B1102","B1103"
"調査年 コード","調査年","地域 コード","地域","/項目","B1101_総面積（北方地域及び竹島を除く）【ｈａ】","B1102_総面積（北方地域及び竹島を含む）【ｈａ】","B1103_可住地面積【ｈａ】"
"1991100000","1991年度","23483","（旧）愛知県 幡豆町","","2601","***","1175"
"1991100000","1991年度","32304","（旧）島根県 東出雲町","","3396","***","1435"
"1991100000","1991年度","32401","（旧）島根県 斐川町","","7331","***","5169"
"1990100000","1990年度","03422","（旧）岩手県 藤沢町","","12282","***","4956"
"1990100000","1990年度","09321","（旧）栃木県 西方町","","3200","***","1752"
"1990100000","1990年度","09367","（旧）栃木県 岩舟町","","4674","***","3079"
"1990100000","1990年度","11226","（旧）埼玉県 鳩ヶ谷市","","622","***","622"
"1990100000","1990年度","23481","（旧）愛知県 一色町","","2230","***","2173"
"1990100000","1990年度","23482","（旧）愛知県 吉良町","","3592","***","2726"
"1990100000","1990年度","23483","（旧）愛知県 幡豆町","","2601","***","1175"
"1990100000","1990年度","32304","（旧）島根県 東出雲町","","3396","***","1435"
"1990100000","1990年度","32401","（旧）島根県 斐川町","","7323","***","5161"
"1989100000","1989年度","03422","（旧）岩手県 藤沢町","","12282","***","4459"
"1989100000","1989年度","09321","（旧）栃木県 西方町","","3200","***","1610"
"1989100000","1989年度","09367","（旧）栃木県 岩舟町","","4674","***","2985"
"1989100000","1989年度","11226","（旧）埼玉県 鳩ヶ谷市","","624","***","624"
"1989100000","1989年度","23481","（旧）愛知県 一色町","","2230","***","2174"
"1989100000","1989年度","23482","（旧）愛知県 吉良町","","3592","***","2696"
"1989100000","1989年度","23483","（旧）愛知県 幡豆町","","2601","***","1167"
"1989100000","1989年度","32304","（旧）島根県 東出雲町","","3396","***","1442"
"1989100000","1989年度","32401","（旧）島根県 斐川町","","7323","***","5163"
"1988100000","1988年度","03422","（旧）岩手県 藤沢町","","12282","***","4459"
"1988100000","1988年度","09321","（旧）栃木県 西方町","","3200","***","1610"
"1988100000","1988年度","09367","（旧）栃木県 岩舟町","","4674","***","2985"
"1988100000","1988年度","11226","（旧）埼玉県 鳩ヶ谷市","","624","***","624"
"1988100000","1988年度","23481","（旧）愛知県 一色町","","2230","***","2174"
"1988100000","1988年度","23482","（旧）愛知県 吉良町","","3592","***","2696"
"1988100000","1988年度","23483","（旧）愛知県 幡豆町","","2601","***","1167"
"1988100000","1988年度","32304","（旧）島根県 東出雲町","","3396","***","1442"
"1988100000","1988年度","32401","（旧）島根県 斐川町","","7323","***","5163"
"1987100000","1987年度","03422","（旧）岩手県 藤沢町","","12266","***","4443"
"1987100000","1987年度","09321","（旧）栃木県 西方町","","3182","***","1592"
"1987100000","1987年度","09367","（旧）栃木県 岩舟町","","4669","***","2980"
"1987100000","1987年度","11226","（旧）埼玉県 鳩ヶ谷市","","620","***","620"
"1987100000","1987年度","23481","（旧）愛知県 一色町","","2220","***","2164"
"1987100000","1987年度","23482","（旧）愛知県 吉良町","","3596","***","2700"
"1987100000","1987年度","23483","（旧）愛知県 幡豆町","","2597","***","1163"
"1987100000","1987年度","32304","（旧）島根県 東出雲町","","3114","***","1160"
"1987100000","1987年度","32401","（旧）島根県 斐川町","","7278","***","5118"
"1986100000","1986年度","03422","（旧）岩手県 藤沢町","","12266","***","4443"
"1986100000","1986年度","09321","（旧）栃木県 西方町","","3182","***","1592"
"1986100000","1986年度","09367","（旧）栃木県 岩舟町","","4669","***","2980"
"1986100000","1986年度","11226","（旧）埼玉県 鳩ヶ谷市","","620","***","620"
"1986100000","1986年度","23481","（旧）愛知県 一色町","","2220","***","2164"
"1986100000","1986年度","23482","（旧）愛知県 吉良町","","3595","***","2699"
"1986100000","1986年度","23483","（旧）愛知県 幡豆町","","2596","***","1162"
"1986100000","1986年度","32304","（旧）島根県 東出雲町","","3114","***","1160"
"1986100000","1986年度","32401","（旧）島根県 斐川町","","7278","***","5118"
"1985100000","1985年度","03422","（旧）岩手県 藤沢町","","12266","***","4443"
"1985100000","1985年度","09321","（旧）栃木県 西方町","","3182","***","1592"
"1985100000","1985年度","09367","（旧）栃木県 岩舟町","","4669","***","2980"
"1985100000","1985年度","11226","（旧）埼玉県 鳩ヶ谷市","","620","***","620"
"1985100000","1985年度","23481","（旧）愛知県 一色町","","2220","***","2164"
"1985100000","1985年度","23482","（旧）愛知県 吉良町","","3595","***","2699"
"1985100000","1985年度","23483","（旧）愛知県 幡豆町","","2596","***","1162"
"1985100000","1985年度","32304","（旧）島根県 東出雲町","","3114","***","1160"
"1985100000","1985年度","32401","（旧）島根県 斐川町","","7278","***","5118"
"1984100000","1984年度","03422","（旧）岩手県 藤沢町","","12266","***","4443"
"1984100000","1984年度","09321","（旧）栃木県 西方町","","3182","***","1592"
"1984100000","1984年度","09367","（旧）栃木県 岩舟町","","4669","***","2980"
"1984100000","1984年度","11226","（旧）埼玉県 鳩ヶ谷市","","620","***","620"
"1984100000","1984年度","23481","（旧）愛知県 一色町","","2220","***","2164"
"1984100000","1984年度","23482","（旧）愛知県 吉良町","","3595","***","2699"
"1984100000","1984年度","23483","（旧）愛知県 幡豆町","","2596","***","1162"
"1984100000","1984年度","32304","（旧）島根県 東出雲町","","3114","***","1160"
"1984100000","1984年度","32401","（旧）島根県 斐川町","","7278","***","5118"
"1983100000","1983年度","03422","（旧）岩手県 藤沢町","","12266","***","4443"
"1983100000","1983年度","09321","（旧）栃木県 西方町","","3182","***","1592"
"1983100000","1983年度","09367","（旧）栃木県 岩舟町","","4669","***","2980"
"1983100000","1983年度","11226","（旧）埼玉県 鳩ヶ谷市","","620","***","620"
"1983100000","1983年度","23481","（旧）愛知県 一色町","","2220","***","2164"
"1983100000","1983年度","23482","（旧）愛知県 吉良町","","3595","***","2699"
