ele_ymd,election,prefecture,municipality,district,name_kanji,name_kana,age,gen,status,job,circle,win,n_votes,voting_ymd,year,month,day,kokuji_ymd,e_voting_rate,e_seats_target,e_n_candidates,e_competitive_ratio,e_all_voter,e_male_all_voter,e_female_all_voter,e_change_all_voter,e_reason,e_pre_v_rate,e_pre_seats_t,e_pre_n_cand,e_pre_compe_rate,d_voting_rate,d_seats_target,d_n_candidates,d_competitive_ratio,d_all_voter,d_male_all_voter,d_female_all_voter,d_change_all_voter,d_reason,d_pre_v_rate,d_pre_seats_t,d_pre_n_cand,d_pre_compe_rate
名古屋市議会議員選挙（2019年04月07日投票）,名古屋市議会議員選挙,愛知県,名古屋市, 中区,今枝 きよみ,イマエダ キヨミ,61,女,新人,秘書,無所属,False,1413.0,20190407,2019,4,7,20190329,32.87,68,99,1.4558823529411764,1711629,nan,nan,-74080,任期満了,36.57,nan,nan,nan,25.14,3,6,2.0,67627,nan,nan,5371,任期満了,28.69,nan,nan,nan
名古屋市議会議員選挙（2019年04月07日投票）,名古屋市議会議員選挙,愛知県,名古屋市, 中区,のりたけ 勅仁,ノリタケ クニヒト,53,男,元職,会社員,無所属,False,1161.0,20190407,2019,4,7,20190329,32.87,68,99,1.4558823529411764,1711629,nan,nan,-74080,任期満了,36.57,nan,nan,nan,25.14,3,6,2.0,67627,nan,nan,5371,任期満了,28.69,nan,nan,nan
名古屋市議会議員選挙（2019年04月07日投票）,名古屋市議会議員選挙,愛知県,名古屋市, 昭和区,おくむら 文悟,オクムラ ブンゴ,33,男,新人,議員秘書,立憲民主党,True,9581.0,20190407,2019,4,7,20190329,32.87,68,99,1.4558823529411764,1711629,nan,nan,-74080,任期満了,36.57,nan,nan,nan,33.09,3,4,1.3333333333333333,83027,nan,nan,3036,任期満了,35.86,nan,nan,nan
名古屋市議会議員選挙（2019年04月07日投票）,名古屋市議会議員選挙,愛知県,名古屋市, 昭和区,西川 ひさし,ニシカワ ヒサシ,51,男,現職,名古屋市議会議員,自由民主党,True,7204.0,20190407,2019,4,7,20190329,32.87,68,99,1.4558823529411764,1711629,nan,nan,-74080,任期満了,36.57,nan,nan,nan,33.09,3,4,1.3333333333333333,83027,nan,nan,3036,任期満了,35.86,nan,nan,nan
名古屋市議会議員選挙（2019年04月07日投票）,名古屋市議会議員選挙,愛知県,名古屋市, 昭和区,大村 光子,オオムラ ミツコ,57,女,現職,名古屋市会議員,減税日本,True,6927.0,20190407,2019,4,7,20190329,32.87,68,99,1.4558823529411764,1711629,nan,nan,-74080,任期満了,36.57,nan,nan,nan,33.09,3,4,1.3333333333333333,83027,nan,nan,3036,任期満了,35.86,nan,nan,nan
名古屋市議会議員選挙（2019年04月07日投票）,名古屋市議会議員選挙,愛知県,名古屋市, 昭和区,柴田 たみお,シバタ タミオ,54,男,現職,名古屋市会議員,日本共産党,False,3351.0,20190407,2019,4,7,20190329,32.87,68,99,1.4558823529411764,1711629,nan,nan,-74080,任期満了,36.57,nan,nan,nan,33.09,3,4,1.3333333333333333,83027,nan,nan,3036,任期満了,35.86,nan,nan,nan
名古屋市議会議員選挙（2019年04月07日投票）,名古屋市議会議員選挙,愛知県,名古屋市, 瑞穂区,ふじた 和秀,フジタ カズヒデ,55,男,現職,名古屋市議会議員,自由民主党,True,9293.0,20190407,2019,4,7,20190329,32.87,68,99,1.4558823529411764,1711629,nan,nan,-74080,任期満了,36.57,nan,nan,nan,32.65,3,5,1.6666666666666667,87979,nan,nan,2784,任期満了,35.97,nan,nan,nan
名古屋市議会議員選挙（2019年04月07日投票）,名古屋市議会議員選挙,愛知県,名古屋市, 瑞穂区,前田 えみ子,マエダ エミコ,68,女,新人,貸農園副代表,減税日本,True,6726.0,20190407,2019,4,7,20190329,32.87,68,99,1.4558823529411764,1711629,nan,nan,-74080,任期満了,36.57,nan,nan,nan,32.65,3,5,1.6666666666666667,87979,nan,nan,2784,任期満了,35.97,nan,nan,nan
名古屋市議会議員選挙（2019年04月07日投票）,名古屋市議会議員選挙,愛知県,名古屋市, 瑞穂区,久田 くにひろ,ヒサダ クニヒロ,35,男,新人,無職,立憲民主党,True,6021.0,20190407,2019,4,7,20190329,32.87,68,99,1.4558823529411764,1711629,nan,nan,-74080,任期満了,36.57,nan,nan,nan,32.65,3,5,1.6666666666666667,87979,nan,nan,2784,任期満了,35.97,nan,nan,nan
名古屋市議会議員選挙（2019年04月07日投票）,名古屋市議会議員選挙,愛知県,名古屋市, 瑞穂区,土居 よしもと,ドイ ヨシモト,52,男,現職,名古屋市議会議員,国民民主党,False,3800.0,20190407,2019,4,7,20190329,32.87,68,99,1.4558823529411764,1711629,nan,nan,-74080,任期満了,36.57,nan,nan,nan,32.65,3,5,1.6666666666666667,87979,nan,nan,2784,任期満了,35.97,nan,nan,nan
名古屋市議会議員選挙（2019年04月07日投票）,名古屋市議会議員選挙,愛知県,名古屋市, 瑞穂区,おぜき 雅美,オゼキ マサミ,69,男,新人,日本共産党専従職員,日本共産党,False,2312.0,20190407,2019,4,7,20190329,32.87,68,99,1.4558823529411764,1711629,nan,nan,-74080,任期満了,36.57,nan,nan,nan,32.65,3,5,1.6666666666666667,87979,nan,nan,2784,任期満了,35.97,nan,nan,nan
名古屋市議会議員選挙（2019年04月07日投票）,名古屋市議会議員選挙,愛知県,名古屋市, 熱田区,森 ともお,モリ トモオ,48,男,現職,市議会議員,立憲民主党,True,7042.0,20190407,2019,4,7,20190329,32.87,68,99,1.4558823529411764,1711629,nan,nan,-74080,任期満了,36.57,nan,nan,nan,35.53,2,4,2.0,53682,nan,nan,912,任期満了,35.87,nan,nan,nan
名古屋市議会議員選挙（2019年04月07日投票）,名古屋市議会議員選挙,愛知県,名古屋市, 熱田区,服部 しんのすけ,ハットリ シンノスケ,44,男,現職,市議会議員,自由民主党,True,5504.0,20190407,2019,4,7,20190329,32.87,68,99,1.4558823529411764,1711629,nan,nan,-74080,任期満了,36.57,nan,nan,nan,35.53,2,4,2.0,53682,nan,nan,912,任期満了,35.87,nan,nan,nan
名古屋市議会議員選挙（2019年04月07日投票）,名古屋市議会議員選挙,愛知県,名古屋市, 熱田区,憲 俊,ケン シュン,40,男,新人,役者,減税日本,False,3466.0,20190407,2019,4,7,20190329,32.87,68,99,1.4558823529411764,1711629,nan,nan,-74080,任期満了,36.57,nan,nan,nan,35.53,2,4,2.0,53682,nan,nan,912,任期満了,35.87,nan,nan,nan
名古屋市議会議員選挙（2019年04月07日投票）,名古屋市議会議員選挙,愛知県,名古屋市, 熱田区,西田 とし子,ニシダ トシコ,64,女,新人,政党役員,日本共産党,False,2795.0,20190407,2019,4,7,20190329,32.87,68,99,1.4558823529411764,1711629,nan,nan,-74080,任期満了,36.57,nan,nan,nan,35.53,2,4,2.0,53682,nan,nan,912,任期満了,35.87,nan,nan,nan
名古屋市議会議員選挙（2019年04月07日投票）,名古屋市議会議員選挙,愛知県,名古屋市, 中川区,木下 まさる,キノシタ マサル,64,男,現職,市議会議員,公明党,True,11278.0,20190407,2019,4,7,20190329,32.87,68,99,1.4558823529411764,1711629,nan,nan,-74080,任期満了,36.57,nan,nan,nan,31.18,7,9,1.2857142857142858,178514,nan,nan,5448,任期満了,35.77,nan,nan,nan
